Date,Adj Close,Close,High,Low,Open,Volume,Daily Return
2020-01-02,5.9727091789245605,5.9977498054504395,5.9977498054504395,5.918000221252441,5.96875,237536000,
2020-01-03,5.877111434936523,5.901750087738037,5.9457502365112305,5.852499961853027,5.877500057220459,205384000,-0.01600575904907031
2020-01-06,5.901758670806885,5.926499843597412,5.9317498207092285,5.781750202178955,5.808000087738037,262636000,0.0041937669794460675
2020-01-07,5.973208427429199,5.9982500076293945,6.044250011444092,5.909749984741211,5.954999923706055,314856000,0.01210651953217634
2020-01-08,5.984410762786865,6.009500026702881,6.051000118255615,5.953750133514404,5.99399995803833,277108000,0.0018754301802401674
2020-01-09,6.050137519836426,6.075500011444092,6.148250102996826,6.021500110626221,6.096250057220459,255112000,0.01098299559553495
2020-01-10,6.0824995040893555,6.107999801635742,6.213749885559082,6.09375,6.1832499504089355,316296000,0.0053489667213060255
2020-01-13,6.273200035095215,6.299499988555908,6.324749946594238,6.168749809265137,6.191500186920166,319840000,0.03135232988965275
2020-01-14,6.156191825866699,6.182000160217285,6.2820000648498535,6.168749809265137,6.256499767303467,359088000,-0.018652076862513023
2020-01-15,6.113619804382324,6.139249801635742,6.217249870300293,6.113249778747559,6.19474983215332,263104000,-0.006915317567834478
2020-01-16,6.197268486022949,6.223249912261963,6.229249954223633,6.16949987411499,6.192999839782715,284192000,0.013682349298310026
2020-01-17,6.2059831619262695,6.23199987411499,6.25,6.1842498779296875,6.242499828338623,253792000,0.00140621241809602
2020-01-21,6.172623157501221,6.198500156402588,6.232250213623047,6.164249897003174,6.195250034332275,217916000,-0.005375458417243628
2020-01-22,6.226646423339844,6.252749919891357,6.339749813079834,6.224999904632568,6.24399995803833,239240000,0.008752075812852977
2020-01-23,6.295108795166016,6.321499824523926,6.329999923706055,6.203750133514404,6.293000221252441,244516000,0.010995063340925926
2020-01-24,6.235857963562012,6.26200008392334,6.487500190734863,6.207499980926514,6.4375,373512000,-0.009412201366480355
2020-01-27,5.979931354522705,6.005000114440918,6.056250095367432,5.805749893188477,5.955999851226807,470536000,-0.04104112225370793
2020-01-28,6.173369884490967,6.199250221252441,6.231750011444092,6.017749786376953,6.071249961853027,310976000,0.032347951590106616
2020-01-29,6.112872123718262,6.138500213623047,6.2210001945495605,6.098499774932861,6.184750080108643,258848000,-0.009799795234154085
2020-01-30,6.119595050811768,6.145249843597412,6.158750057220459,5.985000133514404,6.040249824523926,290504000,0.0010997984183933607
2020-01-31,5.886074066162109,5.910749912261963,6.111249923706055,5.868750095367432,6.099249839782715,370420000,-0.03815954858298698
2020-02-03,5.983166694641113,6.0082502365112305,6.027750015258789,5.886250019073486,5.892499923706055,255564000,0.01649531205140109
2020-02-04,6.152457237243652,6.178249835968018,6.197500228881836,6.100500106811523,6.150750160217285,271544000,0.028294472014989358
2020-02-05,6.242829322814941,6.269000053405762,6.309999942779541,6.1852498054504395,6.299749851226807,208220000,0.014688779147334019
2020-02-06,6.329713344573975,6.356249809265137,6.356249809265137,6.2220001220703125,6.303500175476074,218284000,0.013917411043340211
2020-02-07,6.263492107391357,6.289750099182129,6.338250160217285,6.264249801635742,6.315999984741211,189752000,-0.010461964638475152
2020-02-10,6.546803951263428,6.574250221252441,6.574999809265137,6.307499885559082,6.3125,529608000,0.0452322504785696
2020-02-11,6.669290542602539,6.697249889373779,6.8125,6.6207499504089355,6.683000087738037,638556000,0.018709372122785783
2020-02-12,6.785054683685303,6.813499927520752,6.820000171661377,6.711249828338623,6.750249862670898,374644000,0.01735778945950517
2020-02-13,6.741238594055176,6.769499778747559,6.836999893188477,6.727749824523926,6.755249977111816,528016000,-0.0064577356665205254
