Date,Adj Close,Close,High,Low,Open,Volume
Ticker,^OMX,^OMX,^OMX,^OMX,^OMX,^OMX
Date,,,,,,
2020-01-02 00:00:00+00:00,1808.6300048828125,1808.6300048828125,1810.199951171875,1771.8499755859375,1771.8499755859375,66471900
2020-01-03 00:00:00+00:00,1785.22998046875,1785.22998046875,1806.4100341796875,1778.530029296875,1806.4100341796875,60176800
2020-01-07 00:00:00+00:00,1796.8499755859375,1796.8499755859375,1805.6500244140625,1784.8599853515625,1784.93994140625,71141000
2020-01-08 00:00:00+00:00,1795.4100341796875,1795.4100341796875,1796.7900390625,1774.3599853515625,1795.1500244140625,61540300
2020-01-09 00:00:00+00:00,1796.739990234375,1796.739990234375,1811.219970703125,1793.739990234375,1797.6800537109375,81381800
2020-01-10 00:00:00+00:00,1784.969970703125,1784.969970703125,1800.1600341796875,1784.280029296875,1797.52001953125,68331400
2020-01-13 00:00:00+00:00,1790.510009765625,1790.510009765625,1798.0699462890625,1781.3199462890625,1786.4100341796875,65913500
2020-01-14 00:00:00+00:00,1792.9000244140625,1792.9000244140625,1794.02001953125,1772.68994140625,1790.5799560546875,68698400
2020-01-15 00:00:00+00:00,1787.2900390625,1787.2900390625,1794.0799560546875,1780.8800048828125,1792.6300048828125,87793300
2020-01-16 00:00:00+00:00,1812.300048828125,1812.300048828125,1812.300048828125,1787.300048828125,1787.300048828125,83445800
2020-01-17 00:00:00+00:00,1825.93994140625,1825.93994140625,1831.52001953125,1813.239990234375,1813.239990234375,85989200
2020-01-20 00:00:00+00:00,1821.2900390625,1821.2900390625,1829.6800537109375,1819.800048828125,1824.969970703125,55952300
2020-01-21 00:00:00+00:00,1825.6199951171875,1825.6199951171875,1826.6199951171875,1800.5999755859375,1819.77001953125,65265800
2020-01-22 00:00:00+00:00,1811.760009765625,1811.760009765625,1834.0999755859375,1810.719970703125,1823.8399658203125,75215100
2020-01-23 00:00:00+00:00,1795.4300537109375,1795.4300537109375,1809.719970703125,1790.969970703125,1809.4300537109375,71663000
2020-01-24 00:00:00+00:00,1812.8499755859375,1812.8499755859375,1820.75,1798.2900390625,1798.2900390625,107751400
2020-01-27 00:00:00+00:00,1771.47998046875,1771.47998046875,1808.030029296875,1766.7099609375,1808.030029296875,99970600
2020-01-28 00:00:00+00:00,1786.3499755859375,1786.3499755859375,1791.5,1763.449951171875,1773.0400390625,116927600
2020-01-29 00:00:00+00:00,1791.6700439453125,1791.6700439453125,1798.52001953125,1784.1500244140625,1790.25,104412300
2020-01-30 00:00:00+00:00,1787.9599609375,1787.9599609375,1805.6199951171875,1771.1500244140625,1788.8699951171875,134063900
2020-01-31 00:00:00+00:00,1783.260009765625,1783.260009765625,1806.550048828125,1778.0799560546875,1788.6600341796875,111161300
2020-02-03 00:00:00+00:00,1782.9100341796875,1782.9100341796875,1791.5899658203125,1774.1800537109375,1784.0699462890625,79752900
2020-02-04 00:00:00+00:00,1821.0400390625,1821.0400390625,1821.0400390625,1785.4100341796875,1785.4100341796875,94517700
2020-02-05 00:00:00+00:00,1847.3499755859375,1847.3499755859375,1854.0999755859375,1815.3199462890625,1820.5999755859375,119999800
2020-02-06 00:00:00+00:00,1851.949951171875,1851.949951171875,1864.3199462890625,1843.8599853515625,1847.6400146484375,120201900
2020-02-07 00:00:00+00:00,1849.8599853515625,1849.8599853515625,1856.3399658203125,1841.5899658203125,1851.06005859375,111075200
2020-02-10 00:00:00+00:00,1858.0,1858.0,1860.699951171875,1843.469970703125,1848.9599609375,80178600
2020-02-11 00:00:00+00:00,1884.1300048828125,1884.1300048828125,1885.5,1859.239990234375,1859.239990234375,93510400
2020-02-12 00:00:00+00:00,1889.75,1889.75,1893.27001953125,1879.1300048828125,1884.75,84555000
2020-02-13 00:00:00+00:00,1883.02001953125,1883.02001953125,1887.25,1864.050048828125,1887.25,84793300
2020-02-14 00:00:00+00:00,1885.6199951171875,1885.6199951171875,1892.1500244140625,1881.3499755859375,1882.219970703125,61757600
2020-02-17 00:00:00+00:00,1888.3499755859375,1888.3499755859375,1897.9300537109375,1885.4200439453125,1885.4200439453125,0
2020-02-18 00:00:00+00:00,1878.7900390625,1878.7900390625,1888.97998046875,1869.27001953125,1887.18994140625,65472300
2020-02-19 00:00:00+00:00,1900.280029296875,1900.280029296875,1901.1300048828125,1880.68994140625,1880.68994140625,66385900
2020-02-20 00:00:00+00:00,1898.9300537109375,1898.9300537109375,1905.6199951171875,1896.780029296875,1900.68994140625,72830900
2020-02-21 00:00:00+00:00,1879.0999755859375,1879.0999755859375,1896.760009765625,1871.219970703125,1896.760009765625,76566700
2020-02-24 00:00:00+00:00,1798.199951171875,1798.199951171875,1872.0,1791.9599609375,1872.0,125975600
